City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
88,Furano,JP,43.2818,142.4743,67.5,67,95,overcast clouds
89,Cape Town,ZA,-33.9258,18.4232,52.92,77,0,clear sky
90,Atuona,PF,-9.8,-139.0333,77.04,69,0,clear sky
91,Sungairaya,ID,0.7,108.9,78.49,86,100,overcast clouds
92,Norman Wells,CA,65.282,-126.8329,60.84,44,75,broken clouds
93,Kikwit,CD,-5.041,18.8162,72.63,85,81,broken clouds
94,Georgetown,MY,5.4112,100.3354,78.89,87,20,few clouds
95,Llanes,ES,43.4198,-4.7549,72.97,67,69,broken clouds
96,Mareeba,AU,-17.0,145.4333,79.45,69,18,few clouds
97,Bengkulu,ID,-3.8004,102.2655,75.61,82,63,broken clouds
98,Chimbarongo,CL,-34.7,-71.05,49.08,80,99,overcast clouds
99,Dikson,RU,73.5069,80.5464,36.45,98,100,light rain
100,Bredasdorp,ZA,-34.5322,20.0403,47.28,79,80,broken clouds
101,Baghdad,IQ,33.3406,44.4009,78.71,36,0,clear sky
102,Provideniya,RU,64.3833,-173.3,46.51,93,100,overcast clouds
103,Adrar,MR,20.5022,-10.0711,94.53,25,12,few clouds
104,Rawson,AR,-43.3002,-65.1023,52.5,62,54,broken clouds
105,Yellowknife,CA,62.456,-114.3525,46.92,81,100,overcast clouds
106,Diebougou,BF,10.9667,-3.25,73.4,90,42,light rain
107,Wahpeton,US,46.2652,-96.6059,71.92,30,0,clear sky
108,Lompoc,US,34.6391,-120.4579,82.81,67,75,broken clouds
109,Akdepe,TM,42.0551,59.3788,51.89,64,0,clear sky
110,Hilo,US,19.7297,-155.09,85.73,71,0,clear sky
111,Puerto Ayora,EC,-0.7393,-90.3518,66.54,90,80,broken clouds
112,Namatanai,PG,-3.6667,152.4333,84.24,57,45,scattered clouds
113,Pingliang,CN,35.5392,106.6861,60.26,85,6,clear sky
114,Dunyapur,PK,29.7995,71.7196,86.43,51,0,clear sky
115,Tsybli,UA,49.9948,31.5628,56.08,90,81,broken clouds
116,Santa Maria,BR,-29.6842,-53.8069,54.7,62,0,clear sky
117,Puqi,CN,29.7167,113.8833,78.8,57,31,scattered clouds
118,Krasnoznamensk,RU,55.5994,37.0386,49.91,87,100,light rain
119,Saint Stephen,GB,50.3333,-4.9,64.67,88,91,overcast clouds
120,Baie-Comeau,CA,49.2168,-68.1489,55.08,100,100,fog
121,Kavieng,PG,-2.5744,150.7967,84.24,62,26,scattered clouds
122,Camargo,MX,27.6667,-105.1667,82.17,33,49,scattered clouds
123,Donskoye,RU,45.4552,41.9741,59.13,81,35,scattered clouds
124,Mandurah,AU,-32.55,115.7,64.9,77,15,few clouds
125,Piotrkow Trybunalski,PL,51.4055,19.7032,51.19,10,38,scattered clouds
126,Fortuna,US,40.5982,-124.1573,71.92,78,95,overcast clouds
127,Galle,LK,6.0367,80.217,77.38,89,16,few clouds
128,Longyearbyen,SJ,78.2186,15.6401,35.44,80,100,light rain
129,Aksu,CN,41.1231,80.2644,72.23,20,99,overcast clouds
130,Salalah,OM,17.0151,54.0924,78.89,100,100,light intensity drizzle
131,Poya,NC,-21.35,165.15,80.08,72,41,scattered clouds
132,Chernyshevskiy,RU,63.0128,112.4714,40.14,86,92,overcast clouds
133,Samarai,PG,-10.6167,150.6667,82.08,78,71,broken clouds
134,Lasa,IT,46.6166,10.7002,51.37,76,0,clear sky
135,Zhuhai,CN,22.2769,113.5678,86.86,74,0,clear sky
136,Khatanga,RU,71.9667,102.5,32.5,78,70,broken clouds
137,Rio Gallegos,AR,-51.6226,-69.2181,41.05,52,0,clear sky
138,Tiksi,RU,71.6872,128.8694,36.59,77,94,overcast clouds
139,Khuzhir,RU,53.1939,107.3397,52.7,67,94,overcast clouds
140,Victoria,HK,22.2855,114.1577,86.97,81,9,clear sky
141,Qaqortoq,GL,60.7167,-46.0333,45.0,89,72,broken clouds
142,Namibe,AO,-15.1961,12.1522,63.45,87,48,scattered clouds
143,Nouadhibou,MR,20.931,-17.0347,74.28,76,7,clear sky
144,Ponta Do Sol,PT,32.6667,-17.1,78.01,92,100,light rain
145,Am Timan,TD,11.0297,20.2827,72.43,94,19,few clouds
146,Gourcy,BF,13.2167,-2.35,77.36,79,16,few clouds
147,Cayenne,GF,4.9333,-52.3333,75.24,94,0,clear sky
148,Goma,CD,-1.6792,29.2228,62.4,87,49,light rain
149,Kavaratti,IN,10.5669,72.642,80.35,83,100,overcast clouds
150,Araouane,ML,18.9048,-3.5265,98.33,22,74,broken clouds
151,Chuy,UY,-33.6971,-53.4616,47.59,89,78,broken clouds
152,Putina,PE,-15.4667,-69.4333,50.34,71,7,clear sky
153,Mar Del Plata,AR,-38.0023,-57.5575,55.09,79,0,clear sky
154,Mancio Lima,BR,-7.6142,-72.8958,74.82,85,96,overcast clouds
155,Malindi,KE,-3.2175,40.1191,74.3,81,65,broken clouds
156,Quatre Cocos,MU,-20.2078,57.7625,68.11,72,26,scattered clouds
157,Gat,IL,31.61,34.7642,74.08,76,0,clear sky
158,Yeppoon,AU,-23.1333,150.7333,71.38,51,27,scattered clouds
159,Trinidad,BO,-14.8333,-64.9,82.89,35,27,scattered clouds
160,Brownsville,US,25.9018,-97.4975,87.78,65,20,few clouds
161,Hirado,JP,33.3597,129.5531,77.99,87,100,overcast clouds
162,Langsa,ID,4.4683,97.9683,74.17,82,99,overcast clouds
