City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Santo Antonio Do Monte,BR,2022-09-10 03:22:49,-20.0872,-45.2936,66.38,43,15,4.94
68,Half Moon Bay,US,2022-09-10 03:22:50,37.4636,-122.4286,75.79,85,100,14.97
69,Hermanus,ZA,2022-09-10 03:22:50,-34.4187,19.2345,47.8,75,85,1.92
70,Clearwater,US,2022-09-10 03:22:50,27.9659,-82.8001,78.91,92,0,3.44
71,Sinjar,IQ,2022-09-10 03:22:51,36.3209,41.8754,80.49,16,0,3.2
72,Torbay,CA,2022-09-10 03:22:51,47.6666,-52.7314,56.57,91,100,10.36
73,Grants,US,2022-09-10 03:22:52,35.1473,-107.8514,68.23,40,0,13.8
74,Hvide Sande,DK,2022-09-10 03:22:52,56.0045,8.1294,56.08,87,39,10.65
75,Bluff,NZ,2022-09-10 03:22:53,-46.6,168.3333,56.8,70,0,3.62
76,Nikolskoye,RU,2022-09-10 03:22:53,59.7035,30.7861,39.09,93,10,4.25
77,Port Elizabeth,ZA,2022-09-10 03:22:54,-33.918,25.5701,55.69,100,20,2.3
78,Yellowknife,CA,2022-09-10 03:21:51,62.456,-114.3525,45.12,81,75,5.75
79,Honningsvag,NO,2022-09-10 03:22:54,70.9821,25.9704,47.95,81,100,16.11
80,Butaritari,KI,2022-09-10 03:22:55,3.0707,172.7902,82.09,69,100,15.23
81,Barrow,US,2022-09-10 03:22:55,71.2906,-156.7887,35.62,93,100,20.71
82,Robstown,US,2022-09-10 03:22:55,27.7903,-97.6689,82.18,91,0,6.91
83,Pacifica,US,2022-09-10 03:22:56,37.6138,-122.4869,74.79,89,20,14.97
84,Arkhangelsk,RU,2022-09-10 03:22:56,64.5401,40.5433,46.51,100,75,2.24
85,Fortuna,US,2022-09-10 03:22:57,40.5982,-124.1573,64.09,79,0,1.92
86,Yeppoon,AU,2022-09-10 03:22:57,-23.1333,150.7333,82.18,34,4,1.28
87,Port Moresby,PG,2022-09-10 03:22:08,-9.4431,147.1797,85.42,74,40,14.97
88,Chakia,IN,2022-09-10 03:22:58,26.4167,85.05,87.3,64,51,11.12
89,Constitucion,CL,2022-09-10 03:22:58,-35.3333,-72.4167,47.26,77,0,7.05
90,Bethel,US,2022-09-10 03:22:58,41.3712,-73.414,65.91,82,0,4.61
91,Ambon,ID,2022-09-10 03:22:59,-3.6954,128.1814,80.74,89,75,8.05
92,Nome,US,2022-09-10 03:19:59,64.5011,-165.4064,50.16,76,40,17.27
93,Kathu,TH,2022-09-10 03:23:59,7.9178,98.3332,86.7,92,98,8.28
94,Longyearbyen,SJ,2022-09-10 03:24:00,78.2186,15.6401,35.44,93,100,17.27
95,De Aar,ZA,2022-09-10 03:24:00,-30.6497,24.0123,53.87,13,0,5.5
96,Esperance,AU,2022-09-10 03:24:01,-33.8667,121.9,62.35,60,10,0.27
97,Florianopolis,BR,2022-09-10 03:24:01,-27.6146,-48.5012,67.23,83,0,10.36
98,Whitehorse,CA,2022-09-10 03:22:38,60.7161,-135.0538,54.37,37,20,16.11
99,Tiksi,RU,2022-09-10 03:24:02,71.6872,128.8694,38.82,96,100,10.58
100,Los Llanos De Aridane,ES,2022-09-10 03:24:02,28.6585,-17.9182,71.35,96,0,10.36
101,Banes,CU,2022-09-10 03:24:03,20.9625,-75.7186,79.88,81,21,5.14
102,Doha,QA,2022-09-10 03:24:03,25.2867,51.5333,89.58,74,5,4.61
103,Karlskrona,SE,2022-09-10 03:24:03,56.1616,15.5866,55.85,91,98,7.92
104,Mar Del Plata,AR,2022-09-10 03:24:04,-38.0023,-57.5575,44.94,75,40,11.99
105,Deputatskiy,RU,2022-09-10 03:24:04,69.3,139.9,37.67,93,100,3.13
106,Ahipara,NZ,2022-09-10 03:24:05,-35.1667,173.1667,59.49,63,18,4.88
107,Batemans Bay,AU,2022-09-10 03:24:05,-35.7167,150.1833,63.1,60,84,8.3
108,Kapaa,US,2022-09-10 03:24:06,22.0752,-159.319,82.72,74,75,14.97
109,Nioro,GM,2022-09-10 03:24:06,13.35,-15.75,73.87,97,66,6.58
110,Hobart,AU,2022-09-10 03:21:58,-42.8794,147.3294,56.26,95,100,12.66
111,Viedma,AR,2022-09-10 03:24:07,-40.8135,-62.9967,38.73,61,0,8.68
112,Puri,IN,2022-09-10 03:24:07,19.8,85.85,84.72,82,100,13.8
113,Duyun,CN,2022-09-10 03:24:08,26.2667,107.5167,73.83,65,98,4.72
114,San Patricio,US,2022-09-10 03:24:08,28.017,-97.5169,84.83,68,1,7.52
115,Batken,KG,2022-09-10 03:24:09,39.8333,71.0,65.79,24,0,1.23
116,Pisco,PE,2022-09-10 03:24:09,-13.7,-76.2167,59.05,82,6,2.3
117,Victoria,HK,2022-09-10 03:22:02,22.2855,114.1577,89.96,72,76,8.01
118,Yafran,LY,2022-09-10 03:24:10,32.0633,12.5286,74.89,41,0,10.6
119,Uvat,RU,2022-09-10 03:24:10,59.1433,68.8953,43.48,96,100,4.47
120,Belomorsk,RU,2022-09-10 03:24:11,64.5232,34.7668,40.6,84,94,6.26
121,Beboto,TD,2022-09-10 03:24:11,8.2668,16.939,69.1,98,100,3.4
122,Itarema,BR,2022-09-10 03:24:12,-2.9248,-39.9167,76.98,81,2,15.19
123,Hilo,US,2022-09-10 03:24:12,19.7297,-155.09,82.13,75,0,9.22
124,Te Anau,NZ,2022-09-10 03:24:13,-45.4167,167.7167,51.19,69,3,0.58
125,Ponta Do Sol,PT,2022-09-10 03:24:13,32.6667,-17.1,75.7,78,23,1.36
126,Kostalexis,GR,2022-09-10 03:24:14,38.8579,22.3646,75.29,66,0,3.71
127,Chuy,UY,2022-09-10 03:24:14,-33.6971,-53.4616,48.18,59,100,13.71
128,Mitsamiouli,KM,2022-09-10 03:24:15,-11.3847,43.2844,74.55,72,27,3.53
129,Atambua,ID,2022-09-10 03:24:15,-9.1061,124.8925,86.22,45,38,3.47
130,Tommot,RU,2022-09-10 03:24:16,58.9564,126.2925,50.4,68,96,10.89
131,Touros,BR,2022-09-10 03:24:16,-5.1989,-35.4608,74.37,83,0,13.73
132,Maarianhamina,AX,2022-09-10 03:24:17,60.0973,19.9348,44.46,93,0,3.44
133,Flinders,AU,2022-09-10 03:24:17,-34.5833,150.8552,71.06,62,43,14.32
134,Cherskiy,RU,2022-09-10 03:24:18,68.75,161.3,51.64,74,100,11.25
135,Tuatapere,NZ,2022-09-10 03:24:18,-46.1333,167.6833,53.17,62,1,2.04
136,Kavieng,PG,2022-09-10 03:23:14,-2.5744,150.7967,84.06,71,100,10.49
137,Marabba,SD,2022-09-10 03:24:19,12.35,32.1833,75.99,79,96,8.61
138,Saldanha,ZA,2022-09-10 03:24:19,-33.0117,17.9442,56.01,93,26,9.6
139,Broken Hill,AU,2022-09-10 03:19:57,-31.95,141.4333,60.49,48,22,13.02
140,Portland,US,2022-09-10 03:20:45,45.5234,-122.6762,82.35,20,0,21.85
141,Ilulissat,GL,2022-09-10 03:25:21,69.2167,-51.1,42.82,75,100,1.14
142,Luderitz,NA,2022-09-10 03:25:21,-26.6481,15.1594,61.09,61,0,12.17
143,Kodiak,US,2022-09-10 03:25:22,57.79,-152.4072,58.51,44,20,10.36
144,Ambilobe,MG,2022-09-10 03:25:22,-13.2,49.05,63.57,81,29,4.07
145,Maragogi,BR,2022-09-10 03:25:23,-9.0122,-35.2225,71.91,89,48,2.15
146,Cortez,US,2022-09-10 03:20:28,37.3489,-108.5859,75.96,25,40,9.22
147,Karratha,AU,2022-09-10 03:25:24,-20.7377,116.8463,76.6,37,0,12.3
148,Mayor Pablo Lagerenza,PY,2022-09-10 03:25:24,-19.9309,-60.7718,71.73,31,0,10.94
149,Tarko-Sale,RU,2022-09-10 03:25:25,64.9225,77.785,40.82,70,100,7.4
150,Avarua,CK,2022-09-10 03:25:25,-21.2078,-159.775,77.05,83,40,16.11
151,Edinet,MD,2022-09-10 03:25:25,48.1681,27.305,58.82,93,45,9.64
152,Brae,GB,2022-09-10 03:25:26,60.3964,-1.353,51.17,85,100,7.65
153,Mahibadhoo,MV,2022-09-10 03:25:26,3.7833,72.9667,81.27,79,81,12.71
154,Nadvoitsy,RU,2022-09-10 03:25:27,63.8667,34.3167,39.72,86,95,6.71
155,Hithadhoo,MV,2022-09-10 03:25:28,-0.6,73.0833,81.86,72,99,11.77
156,Manadhoo,MV,2022-09-10 03:25:28,5.7667,73.3833,80.73,83,100,13.56
157,Kloulklubed,PW,2022-09-10 03:25:28,7.0419,134.2556,84.7,65,80,2.48
158,Manakara,MG,2022-09-10 03:25:29,-22.1333,48.0167,61.52,92,3,3.22
159,Saint George,US,2022-09-10 03:25:29,37.1041,-113.5841,90.63,34,0,12.66
160,Bambous Virieux,MU,2022-09-10 03:25:30,-20.3428,57.7575,70.05,73,75,12.66
161,New Baltimore,US,2022-09-10 03:25:30,42.6811,-82.7369,72.18,83,20,8.05
162,Taltal,CL,2022-09-10 03:25:31,-25.4,-70.4833,56.95,75,5,2.86
163,Puerto Quijarro,BO,2022-09-10 03:25:31,-17.7833,-57.7667,84.29,34,92,7.4
164,Saskylakh,RU,2022-09-10 03:25:32,71.9167,114.0833,40.71,93,100,6.06
165,Sao Filipe,CV,2022-09-10 03:25:32,14.8961,-24.4956,78.55,85,53,4.29
166,Samarai,PG,2022-09-10 03:23:14,-10.6167,150.6667,82.51,75,3,8.34
167,Ostrovnoy,RU,2022-09-10 03:25:32,68.0531,39.5131,48.4,83,100,10.04
168,Umm Lajj,SA,2022-09-10 03:25:33,25.0213,37.2685,84.09,60,0,6.33
169,Kurilsk,RU,2022-09-10 03:25:34,45.2333,147.8833,61.79,63,0,8.9
170,Cabo San Lucas,MX,2022-09-10 03:23:16,22.8909,-109.9124,80.62,84,68,5.99
171,Presidente Epitacio,BR,2022-09-10 03:25:34,-21.7633,-52.1156,77.54,48,10,3.87
172,Hami,CN,2022-09-10 03:25:35,42.8,93.45,88.95,9,0,12.68
173,Alakurtti,RU,2022-09-10 03:25:35,66.9672,30.3491,44.47,96,100,1.68
174,Farah,AF,2022-09-10 03:25:36,32.5,62.5,81.64,12,0,2.84
175,Mackay,AU,2022-09-10 03:25:36,-21.15,149.2,86.68,43,0,8.86
176,Newry,GB,2022-09-10 03:25:37,54.1784,-6.3374,54.1,95,1,4.0
177,Marystown,CA,2022-09-10 03:25:37,47.1666,-55.1483,55.98,69,100,14.25
178,Sosnovo-Ozerskoye,RU,2022-09-10 03:25:37,52.5249,111.5418,56.19,60,100,8.3
